description,image_urls,images,misc,ranking,rating,season,title
"The story revolves around D, the infamous ""dhampir"" (born of a vampire father and a human mother) outcast and renowned vampire hunter. His prowess at hunting the creatures of the night allowing his acceptance among humans, he is called upon to locate Charlotte Elbourne, the lovely daughter of an affluent family who has been mysteriously kidnapped.,
,
When the sun sets, the hunt goes on! Charlotte's father offers a rich bounty, be she dead or alive, a task D willingly accepts, even with notorious Markus brothers and their gang of bounty hunters seeking the prize as well. Amidst the chase and unknown to all lurks, a sinister evil which has been secretly manipulating their every move and has set a chilling trap that none will expect and few will survive. With the tables turned and the secrets revealed, the hunters could quickly become the hunted!,
,
(Source: AniDB) ",https://cdn.myanimelist.net/images/anime/9/21432.jpg,"[{'url': 'https://cdn.myanimelist.net/images/anime/9/21432.jpg', 'path': 'full/5f3fc7ea34472b3cf42665770f88527552f67cf9.jpg', 'checksum': 'bd9cdb138691c0e098e9d2b933ca5b7a', 'status': 'downloaded'}]",Action;Sci-Fi;Horror;Drama;Romance;Vampire;Fantasy,#701,7.89,,Vampire Hunter D (2000)
"A spin-off series of the , TV series, streamed exclusively on YouTube. In this spin-off series, they zoom in on the relationships of the members of Trigger, how they met, and how they grew closer as an unit. It also comes up with an ending for the unresolved issue in the first season regarding the song ""Natsu Shiyouze.""",https://cdn.myanimelist.net/images/anime/1131/90676.jpg,"[{'url': 'https://cdn.myanimelist.net/images/anime/1131/90676.jpg', 'path': 'full/aad02c7085ae3ae65ea2add76b21cb707135ae57.jpg', 'checksum': '6294e9e9b2e58ffe25b6f437117276e7', 'status': 'downloaded'}]",Music;Drama,#598,7.96,,IDOLiSH7 Vibrato
"Gene Starwind has always dreamed of piloting his own ship out into the vast sea of stars. Unfortunately, not all dreams come true, as he spends his days working odd jobs alongside his partner, James Hawking, on the small planet Sentinel III instead. However, this all takes a turn when the duo takes on a job from Rachel Sweet who, unbeknownst to them, is actually a treasure-hunting outlaw. Tasked with protecting a mysterious girl known as Melfina, the meeting irrevocably changes the pair's lives as they are sent out into the great unknown aboard the highly advanced ship, Outlaw Star.,
 ,
, follows Gene and his ragtag crew as they brave the final frontier, navigating the stars in search of answers to the mysteries surrounding Melfina. Encountering dangerous bounty hunters, space pirates, Taoist mages, and even catgirls, there is sure to be an exhilarating adventure around every corner.,
,
[Written by MAL Rewrite]",https://cdn.myanimelist.net/images/anime/7/28848.jpg,"[{'url': 'https://cdn.myanimelist.net/images/anime/7/28848.jpg', 'path': 'full/deb2273b17c5a181f92a19d13bfb15ae39a9cb74.jpg', 'checksum': 'a343c09c9be72156d684a20049dca637', 'status': 'downloaded'}]",Action;Sci-Fi;Adventure;Space;Comedy,#750,7.86,Winter 1998,Seihou Bukyou Outlaw Star
"Izayoi and Inu no Taishou, Inuyasha's parents, are having problems with a human named Setsuna no Takemaru. Sou'unga a magical sword that has been sealed away for 700 years is found. Now everyone is after the sword and its powers but it seems the sword has something else in mind.,
,
(Source: ANN),
",https://cdn.myanimelist.net/images/anime/1658/95332.jpg,"[{'url': 'https://cdn.myanimelist.net/images/anime/1658/95332.jpg', 'path': 'full/5b345a205c25e5f7b7b908b915f2d0672c125cd6.jpg', 'checksum': '813b2b2d98b4c4435b9afe32c2980892', 'status': 'downloaded'}]",Action;Adventure;Comedy;Historical;Demons;Supernatural;Drama;Magic;Romance;Fantasy;Shounen,#851,7.80,,InuYasha Movie 3: Tenka Hadou no Ken
"Music video for Eve and suis' song ,, also used as commercial for the Lotte Ghana Valentine Present campaign.",https://cdn.myanimelist.net/images/anime/1026/111591.jpg,"[{'url': 'https://cdn.myanimelist.net/images/anime/1026/111591.jpg', 'path': 'full/ec6f2e0b5099c1ef009cb650dccc40154cbb052a.jpg', 'checksum': 'a200b10b2ff996888d049627a1e39bc3', 'status': 'downloaded'}]",Music;Romance,#1100,7.68,,Heikousen
"A short anime based on , by Riyo. Aired during Fate Project Year End 2018, and is also available on YouTube.",https://cdn.myanimelist.net/images/anime/1830/98102.jpg,"[{'url': 'https://cdn.myanimelist.net/images/anime/1830/98102.jpg', 'path': 'full/baddfb8b6ac279f773eed920215ac92bd2e3746e.jpg', 'checksum': '170b1c05941501aac8120e795fd1f2f6', 'status': 'downloaded'}]",Comedy,#1050,7.70,,Manga de Wakaru! Fate/Grand Order
"The movie is a continuation of the story from the original series that takes place half a year later. The original team joins an alliance to help take back the area around Unato Castle, however things do not go as planned. Will Ikoma and his friends be able to survive, or will they fall to the hordes of Kabane?",https://cdn.myanimelist.net/images/anime/1749/99713.jpg,"[{'url': 'https://cdn.myanimelist.net/images/anime/1749/99713.jpg', 'path': 'full/c1ae0d677bf2bcb392ea2e083422e7488e720929.jpg', 'checksum': '8f8de264d1c361fe3f9f57ca04a9d171', 'status': 'downloaded'}]",Action;Horror;Supernatural;Drama;Fantasy,#1048,7.70,,Koutetsujou no Kabaneri Movie 3: Unato Kessen
"Justy Ueki Tylor is an average 20-year-old man: lazy, greedy, and a passionate womanizer. He plans to land an easy job with the United Planets Space Force that pays decently and is also far away from the rigorous combat raging throughout the galaxy.,
,
However, Tylor's dreams of living a simple life are brought to a sudden halt when he stumbles into a dangerous hostage situation. Through one strange mishap after another, Tylor miraculously manages to save the hostages and is awarded command of the decrepit space-cruiser Soyokaze!,
,
Now Tylor finds himself in charge of sending mad mercenaries, proud pilots, skeptical colleagues, and harsh commanders through the infinite expanse of the universe, all the while avoiding the looming threat of the Holy Raalgon Empire. What misadventures await the irresponsible Captain Tylor?,
,
[Written by MAL Rewrite]",https://cdn.myanimelist.net/images/anime/4/14898.jpg,"[{'url': 'https://cdn.myanimelist.net/images/anime/4/14898.jpg', 'path': 'full/de49a8d54b1f4531b13c7384f5213ccb0a156eb4.jpg', 'checksum': 'f1eb2d9a21953c21ee6c550205e76b3b', 'status': 'downloaded'}]",Military;Sci-Fi;Space;Comedy;Parody,#749,7.86,Winter 1993,Musekinin Kanchou Tylor
"Ikta Solork is a carefree young man who only wants two things in life: a woman on his arm and a place to nap. Unfortunately, his peaceful life is destroyed when war breaks out between the Katjvarna Empire and the neighboring Republic of Kioka. Ikta and his childhood friend, Yatorishino Igsem, join the army as military officers, where they meet the infantryman Matthew Tetojirichi, the sniper Torway Remion, and the medic Haroma Becker on a boat heading for the military exam site.,
,
However, after a rogue storm sinks their vessel, the five of them end up in enemy territory near a military outpost. There, they discover that the heir to the Katjvarnan throne, Princess Chamille Kitora Katjvanmaninik, has been taken hostage. The five are able to rescue her, and as a reward, each one of them is granted the title of Imperial Knight—one of the highest honors a soldier can receive. It seems that Ikta will have to put his dream of tranquility on hold, as he must now become the hero he never wanted to be.,
,
[Written by MAL Rewrite]",https://cdn.myanimelist.net/images/anime/11/79531.jpg,"[{'url': 'https://cdn.myanimelist.net/images/anime/11/79531.jpg', 'path': 'full/bed36e031c9db61003de68f202ca70f7f2ff174c.jpg', 'checksum': '276e54a97dcac4d1f0a2ff7397a6c7b5', 'status': 'downloaded'}]",Action;Adventure;Fantasy;Military,#1051,7.70,Summer 2016,Nejimaki Seirei Senki: Tenkyou no Alderamin
An expanded version of the first episode of Macross Frontier.,https://cdn.myanimelist.net/images/anime/4/8507.jpg,"[{'url': 'https://cdn.myanimelist.net/images/anime/4/8507.jpg', 'path': 'full/94236607e87b4112140bb28f35e42eacd02dbdff.jpg', 'checksum': 'df80bc3e62a275a0fb236a3a007c3018', 'status': 'downloaded'}]",Action;Mecha;Military;Music;Sci-Fi;Space,#1049,7.70,,Macross F: Close Encounter - Deculture Edition
"The Grand Magic Games reaches its climax following Natsu Dragneel and Gajeel Redfox's stunning victory over Sting Eucliffe and Rogue Cheney of the Sabertooth guild. This success pushes the Fairy Tail guild closer to being crowned the overall champions, but obtaining victory isn't the only challenge they face. A mystery still surrounds a hooded stranger and the ominous Eclipse Gate, leaving more questions than answers.,
,
More crazy adventures are on the horizon for Fairy Tail as their destructive antics and joyful rowdiness continue unabated. Their greatest trial is quickly approaching, but united as a family, the guild will always be ready to face any threat that comes their way.,
,
[Written by MAL Rewrite]",https://cdn.myanimelist.net/images/anime/3/60551.jpg,"[{'url': 'https://cdn.myanimelist.net/images/anime/3/60551.jpg', 'path': 'full/253d2c2faf8da0b66de276158c4ee551de4f7e68.jpg', 'checksum': '28cd28de478bed24805f55df992959fe', 'status': 'downloaded'}]",Action;Adventure;Comedy;Fantasy;Magic;Shounen,#1096,7.68,Spring 2014,Fairy Tail (2014)
"On her day off, Tessa wakes up in her commander chair. After regaining her composure, she notices that her favorite stuffed animal is missing and thus tries to remember what actually transpired the night before. To do so, she will spend time with all the main characters of the Danaan crew, and eventually recalls the events of the previous night.,
,
[Written by MAL Rewrite]",https://cdn.myanimelist.net/images/anime/3/23458.jpg,"[{'url': 'https://cdn.myanimelist.net/images/anime/3/23458.jpg', 'path': 'full/a5d004fa54a411b7ce4d50ee203e0adbb9965394.jpg', 'checksum': 'cac77a258fd2c693637390c4076b9443', 'status': 'downloaded'}]",Comedy,#1098,7.68,,Full Metal Panic! The Second Raid: Wari to Hima na Sentaichou no Ichinichi
"Two side stories:,
,
Chapter L (or chapter 25) about Lohmeyer/Romaiya senpai.,
,
Chapter F (or chapter 26) about Miwako finding ways to make fun of Yamazaki.,
,
(Source: momento)",https://cdn.myanimelist.net/images/anime/1657/106011.jpg,"[{'url': 'https://cdn.myanimelist.net/images/anime/1657/106011.jpg', 'path': 'full/74a3e920b837e1b6fbb1543222dd1e7a52d951bc.jpg', 'checksum': '00a856a8892b97308814971e692fa225', 'status': 'downloaded'}]",Comedy;Drama;Josei;Romance;Slice of Life,#1099,7.68,,Hachimitsu to Clover Specials
Bundled with the fifth manga volume.,https://cdn.myanimelist.net/images/anime/1141/97770.jpg,"[{'url': 'https://cdn.myanimelist.net/images/anime/1141/97770.jpg', 'path': 'full/5308ace44bb5e14285cd10de16f378f72c05a677.jpg', 'checksum': '0d6562016ac302a9126a7427e6661026', 'status': 'downloaded'}]",Action;Adventure;Comedy;Fantasy;Historical;Samurai;Seinen,#1095,7.68,,Drifters: Special Edition
"After the accident in which she lost her mother, 16-year-old Tooru moves in with her grandfather, but due to his home being renovated, is unable to continue living with him. Claiming she will find someone to stay with but also fearing the criticism of her family and not wanting to burden any of her friends, Tooru resorts to secretly living on her own in a tent in the woods.,
,
One night on her way back from work, she finds her tent buried underneath a landslide. Yuki Souma, the ""prince"" of her school, and his cousin Shigure Souma, a famous author, stumble across Tooru's situation and invite her to stay with them until her grandfather's home renovations are complete.,
,
Upon arriving at the Souma house, Tooru discovers their secret: if a Souma is hugged by someone of the opposite gender, they temporarily transform into one of the animals of the zodiac! However, this strange phenomenon is no laughing matter; rather, it is a terrible curse that holds a dark history. As she continues her journey, meeting more members of the zodiac family, will Tooru's kindhearted yet resilient nature be enough to prepare her for what lies behind the Souma household's doors?,
,
[Written by MAL Rewrite]",https://cdn.myanimelist.net/images/anime/4/75204.jpg,"[{'url': 'https://cdn.myanimelist.net/images/anime/4/75204.jpg', 'path': 'full/453b317163b08f177a7354aa4a37c54747c1f584.jpg', 'checksum': 'dc523cc0597b10e70c4ad37a7941cd64', 'status': 'downloaded'}]",Slice of Life;Comedy;Supernatural;Drama;Romance;Shoujo,#1097,7.68,Summer 2001,Fruits Basket
"No synopsis information has been added to this title. Help improve our database by adding a synopsis ,.",https://cdn.myanimelist.net/images/anime/1710/111094.jpg,"[{'url': 'https://cdn.myanimelist.net/images/anime/1710/111094.jpg', 'path': 'full/aa853ac9721f94be5968c31496f52681cd3a9c84.jpg', 'checksum': '7661122613bf3b567bc3535736fe2d03', 'status': 'downloaded'}]",Demons;Magic;Romance;Shoujo,#1093,7.68,,Bishoujo Senshi Sailor Moon Eternal Movie 2
"An unusual snow storm hits Tokyo and the Sailor Senshi discover that an evil snow queen Kaguya, wants to freeze the entire earth. It's up to the Inner Sailor Senshi along with the Outers, to defeat the Queen. Meanwhile, Luna falls in love with a human astronomer named Kakeru whose girlfriend is an astronaut about to take a space shuttle mission. Kakeru becomes ill and Luna wishes she could be a human to help him. ,
",https://cdn.myanimelist.net/images/anime/13/18896.jpg,"[{'url': 'https://cdn.myanimelist.net/images/anime/13/18896.jpg', 'path': 'full/44c961ba247cc2db24c0a0812d1c2214bb69aa5e.jpg', 'checksum': 'ff71e4983212335fe6cf3fd76c18053a', 'status': 'downloaded'}]",Adventure;Comedy;Drama;Magic;Romance;Fantasy;Shoujo,#1094,7.68,,Bishoujo Senshi Sailor Moon S: Kaguya-hime no Koibito
"Drift peacefully into Neo Venezia, a city on the planet Aqua (formerly known as Mars). By the 24th century, humans have found a way to colonize the previously uninhabitable planet. As futuristic as that sounds, Neo Venezia is still teeming with rustic beauty; gondolas on wide canals and waterways are the main mode of transportation. The city itself is a faithful replication of Manhome's (the planet formerly known as Earth) Venice.,
,
To make sure that residents and tourists alike get the most from Neo Venezia's many wonders, companies offering guided tours via gondola were formed, one of which is named Aria Company.,
,
This is the workplace of Akari Mizunashi, a free spirited teenager from Manhome who is now a novice Undine (the title given to tour guides). Join Akari as she becomes intimately acquainted with other Undine, tourists, Neo Venezia's residents, and even the city itself, learning many valuable life lessons along the way, such as the wonderful truth that there are such things as manmade miracles.,
,
[Written by MAL Rewrite]",https://cdn.myanimelist.net/images/anime/2/77620.jpg,"[{'url': 'https://cdn.myanimelist.net/images/anime/2/77620.jpg', 'path': 'full/3ae7230b528dd28634913802372c76c49ce4276b.jpg', 'checksum': '68ae70829b9850cf9b0e9d1ddbd433b1', 'status': 'downloaded'}]",Sci-Fi;Slice of Life;Fantasy;Shounen,#1091,7.68,Fall 2005,Aria the Animation
"No synopsis information has been added to this title. Help improve our database by adding a synopsis ,.",https://cdn.myanimelist.net/images/anime/1027/111681.jpg,"[{'url': 'https://cdn.myanimelist.net/images/anime/1027/111681.jpg', 'path': 'full/5dc58466361180c7e7ffcea50a50e62d10f148b4.jpg', 'checksum': '55d344670892600b53851777af8238af', 'status': 'downloaded'}]",Music,#1092,7.68,,BanG Dream! Film Live
"A story about a goat and a wolf who become friends on a stormy night, and how they overcome differences and hardships.,
,
(Source: ANN),
",https://cdn.myanimelist.net/images/anime/9/5064.jpg,"[{'url': 'https://cdn.myanimelist.net/images/anime/9/5064.jpg', 'path': 'full/6917af7e268a958aa088cc4194f7ab911f82b668.jpg', 'checksum': 'f6ff8d209b8fe881021184beab144b79', 'status': 'downloaded'}]",Adventure;Comedy;Drama;Fantasy,#1090,7.68,,Arashi no Yoru ni
"Shi Miao is still stuck with her irresponsible elder brother Shi Fen, who lives in neverending fear of his younger sister's stormy temper. As the siblings continue enjoying their carefree high school days alongside their friends and classmates, they realize that there truly is no cure for family.,
,
[Written by MAL Rewrite]",https://cdn.myanimelist.net/images/anime/1756/103441.jpg,"[{'url': 'https://cdn.myanimelist.net/images/anime/1756/103441.jpg', 'path': 'full/e8c1150dcf7fab330251711ae1d228387be8a8ae.jpg', 'checksum': '6e9e083752289bcb4efc30980023f6f1', 'status': 'downloaded'}]",Slice of Life;Comedy;School,#1089,7.68,Fall 2019,Ani ni Tsukeru Kusuri wa Nai! 3
"Animated bloopers included with the Blu-ray/DVD releases of the ,.",https://cdn.myanimelist.net/images/anime/13/72551.jpg,"[{'url': 'https://cdn.myanimelist.net/images/anime/13/72551.jpg', 'path': 'full/992d5333b4a34cb441f38e95b0f8d191dbe1932c.jpg', 'checksum': 'c20c57101792bec78ad49d2b17f9ff77', 'status': 'downloaded'}]",Comedy;Sports,#1087,7.69,,Kuroko no Basket 3rd Season NG-shuu
Second season of Mitsudomoe.,https://cdn.myanimelist.net/images/anime/11/71554.jpg,"[{'url': 'https://cdn.myanimelist.net/images/anime/11/71554.jpg', 'path': 'full/76b29a26b259aa0ff7764339ceb818ce2897244f.jpg', 'checksum': 'c2876c3bc7e5faeb29177e9a9225c3ad', 'status': 'downloaded'}]",Slice of Life;Comedy;School,#1088,7.69,Winter 2011,Mitsudomoe Zouryouchuu!
"Four childhood friends are in their second year at Homare High School: kind and cheerful Shun Matsuoka, hot-tempered Kaname Tsukahara, and the Asaba twins, gentle Yuuta and lazy Yuuki. When a dynamic transfer student, Chizuru Tachibana, joins their group, the friends get caught up in his creative yet troublesome ideas that end up bringing excitement to their everyday lives. With new encounters and experiences, they begin to learn more about each other and themselves.,
,
[Written by MAL Rewrite],
",https://cdn.myanimelist.net/images/anime/4/34949.jpg,"[{'url': 'https://cdn.myanimelist.net/images/anime/4/34949.jpg', 'path': 'full/1b0b26add7e4b5138023c269fb21437a061a8c04.jpg', 'checksum': '28742d7cf6fe146b638f4f1f4f58568e', 'status': 'downloaded'}]",Comedy;Drama;Romance;School;Shounen;Slice of Life,#1086,7.69,Fall 2011,Kimi to Boku.
"Third season of ,.",https://cdn.myanimelist.net/images/anime/1207/91950.jpg,"[{'url': 'https://cdn.myanimelist.net/images/anime/1207/91950.jpg', 'path': 'full/0833e5bdc1809c6f3a2f51c9fb44e0bda4150975.jpg', 'checksum': '109c452ab70520a576a82f7860cca457', 'status': 'downloaded'}]",Comedy;Historical;Supernatural;Romance,#1081,7.69,,Huyao Xiao Hongniang: Yue Hong
"Second half of ,.",https://cdn.myanimelist.net/images/anime/1546/102680.jpg,"[{'url': 'https://cdn.myanimelist.net/images/anime/1546/102680.jpg', 'path': 'full/4dfec16427eb16a0c762bf2627b17cb546fdf4e6.jpg', 'checksum': '7876a3d5dcdfa4a72e8350bee81ab161', 'status': 'downloaded'}]",Action;Martial Arts,#1084,7.69,,Kengan Ashura 2nd Season
"For the longest time, it's just been the two of them. ""Kanojo"" and her cat Daru are inseparable, having grown up together. Now a junior in college, Tomoka—her roommate of a year and a half—moves out of their shared apartment, and in order to keep her living space, Kanojo must find a job. Day by day, Daru watches her continued efforts from a cat's-eye view, eagerly awaiting his owner's return. When she gets back, once again, it's just she and her cat.,
,
, is a charming short series about the bond between a pet and his owner.,
,
[Written by MAL Rewrite]",https://cdn.myanimelist.net/images/anime/9/79716.jpg,"[{'url': 'https://cdn.myanimelist.net/images/anime/9/79716.jpg', 'path': 'full/f4c1344c6bba7aa9957d761048dd20cf25acce2e.jpg', 'checksum': 'c9e3f66de756cfb5706fc0f70986f19b', 'status': 'downloaded'}]",Slice of Life;Psychological;Romance,#1083,7.69,Winter 2016,Kanojo to Kanojo no Neko: Everything Flows
